time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-12 00:00:00+00:00,0,0,2,2
2022-01-13 00:00:00+00:00,0,0,1,1
2022-01-16 00:00:00+00:00,0,0,1,1
2022-01-18 00:00:00+00:00,0,0,1,1
2022-01-21 00:00:00+00:00,0,0,17,3
2022-01-23 00:00:00+00:00,0,0,2,2
2022-01-24 00:00:00+00:00,0,0,1,1
2022-01-25 00:00:00+00:00,10,5,89,3
2022-01-26 00:00:00+00:00,3,2,0,0
2022-01-27 00:00:00+00:00,1,1,7,3
2022-01-28 00:00:00+00:00,2,2,4,2
2022-01-29 00:00:00+00:00,2,2,0,0
2022-01-30 00:00:00+00:00,2,2,0,0
2022-01-31 00:00:00+00:00,2,2,20,3
2022-02-01 00:00:00+00:00,1,1,1,1
2022-02-02 00:00:00+00:00,2,2,0,0
2022-02-03 00:00:00+00:00,2,2,1,1
2022-02-04 00:00:00+00:00,1,1,0,0
2022-02-05 00:00:00+00:00,0,0,5,2
2022-02-06 00:00:00+00:00,3,3,0,0
2022-02-07 00:00:00+00:00,2,2,0,0
2022-02-08 00:00:00+00:00,1,1,2,1
2022-02-09 00:00:00+00:00,1,1,1,1
2022-02-10 00:00:00+00:00,2,2,1,1
2022-02-11 00:00:00+00:00,2,2,2,2
2022-02-12 00:00:00+00:00,2,2,1,1
2022-02-13 00:00:00+00:00,2,2,2,2
2022-02-14 00:00:00+00:00,2,2,2,2
2022-02-15 00:00:00+00:00,2,2,1,1
2022-02-16 00:00:00+00:00,2,2,2,2
2022-02-17 00:00:00+00:00,2,2,1,1
2022-02-18 00:00:00+00:00,1,1,0,0
2022-02-19 00:00:00+00:00,1,1,3,1
2022-02-20 00:00:00+00:00,3,3,1,1
2022-02-21 00:00:00+00:00,2,2,0,0
2022-02-22 00:00:00+00:00,1,1,3,1
2022-02-23 00:00:00+00:00,2,2,0,0
2022-02-24 00:00:00+00:00,1,1,2,1
2022-02-25 00:00:00+00:00,1,1,4,3
2022-02-26 00:00:00+00:00,1,1,0,0
2022-02-27 00:00:00+00:00,1,1,0,0
2022-02-28 00:00:00+00:00,1,1,2,1
2022-03-01 00:00:00+00:00,2,2,24,2
2022-03-02 00:00:00+00:00,1,1,0,0
2022-03-03 00:00:00+00:00,1,1,1,1
2022-03-04 00:00:00+00:00,1,1,1,1
2022-03-05 00:00:00+00:00,2,2,5,2
2022-03-06 00:00:00+00:00,2,2,0,0
2022-03-07 00:00:00+00:00,1,1,0,0
2022-03-08 00:00:00+00:00,7,2,4,2
2022-03-09 00:00:00+00:00,1,1,0,0
2022-03-10 00:00:00+00:00,1,1,0,0
2022-03-11 00:00:00+00:00,1,1,6,1
2022-03-12 00:00:00+00:00,1,1,0,0
2022-03-13 00:00:00+00:00,3,3,0,0
2022-03-14 00:00:00+00:00,1,1,0,0
2022-03-15 00:00:00+00:00,4,2,1,1
2022-03-16 00:00:00+00:00,4,2,0,0
2022-03-17 00:00:00+00:00,2,2,0,0
2022-03-18 00:00:00+00:00,4,2,5,1
2022-03-19 00:00:00+00:00,4,2,0,0
2022-03-20 00:00:00+00:00,2,2,0,0
2022-03-21 00:00:00+00:00,2,2,0,0
2022-03-22 00:00:00+00:00,4,2,0,0
2022-03-23 00:00:00+00:00,93,4,1,1
2022-03-24 00:00:00+00:00,5,3,2,1
2022-03-25 00:00:00+00:00,6,3,0,0
2022-03-26 00:00:00+00:00,3,3,2,2
2022-03-27 00:00:00+00:00,4,2,2,1
2022-03-28 00:00:00+00:00,5,3,2,1
2022-03-29 00:00:00+00:00,5,3,0,0
2022-03-30 00:00:00+00:00,2,2,10,1
2022-03-31 00:00:00+00:00,6,3,0,0
2022-04-01 00:00:00+00:00,4,2,6,3
2022-04-02 00:00:00+00:00,4,2,0,0
2022-04-03 00:00:00+00:00,1,1,0,0
2022-04-04 00:00:00+00:00,1,1,0,0
2022-04-05 00:00:00+00:00,1,1,2,2
2022-04-06 00:00:00+00:00,5,3,1,1
2022-04-07 00:00:00+00:00,4,2,0,0
2022-04-08 00:00:00+00:00,2,2,1,1
2022-04-09 00:00:00+00:00,1,1,0,0
2022-04-10 00:00:00+00:00,1,1,0,0
2022-04-11 00:00:00+00:00,1,1,0,0
2022-04-12 00:00:00+00:00,1,1,1,1
2022-04-13 00:00:00+00:00,2,2,0,0
2022-04-14 00:00:00+00:00,1,1,1,1
2022-04-15 00:00:00+00:00,1,1,2,2
2022-04-16 00:00:00+00:00,2,2,3,1
2022-04-17 00:00:00+00:00,2,2,0,0
2022-04-18 00:00:00+00:00,1,1,0,0
2022-04-19 00:00:00+00:00,1,1,0,0
2022-04-20 00:00:00+00:00,1,1,1,1
2022-04-21 00:00:00+00:00,1,1,0,0
2022-04-22 00:00:00+00:00,3,2,2,2
2022-04-23 00:00:00+00:00,2,2,1,1
2022-04-24 00:00:00+00:00,1,1,47,1
2022-04-25 00:00:00+00:00,5,3,0,0
2022-04-26 00:00:00+00:00,2,2,0,0
2022-04-27 00:00:00+00:00,5,3,1,1
2022-04-28 00:00:00+00:00,1,1,0,0
2022-04-29 00:00:00+00:00,4,3,0,0
2022-04-30 00:00:00+00:00,2,2,0,0
2022-05-01 00:00:00+00:00,2,2,0,0
2022-05-02 00:00:00+00:00,1,1,0,0
2022-05-03 00:00:00+00:00,1,1,0,0
2022-05-04 00:00:00+00:00,2,2,1,1
2022-05-05 00:00:00+00:00,2,2,1,1
2022-05-06 00:00:00+00:00,1,1,0,0
2022-05-07 00:00:00+00:00,2,2,2,1
2022-05-08 00:00:00+00:00,2,2,0,0
2022-05-09 00:00:00+00:00,1,1,0,0
2022-05-10 00:00:00+00:00,2,2,0,0
2022-05-11 00:00:00+00:00,1,1,0,0
2022-05-12 00:00:00+00:00,1,1,0,0
2022-05-13 00:00:00+00:00,2,2,5,3
2022-05-14 00:00:00+00:00,1,1,0,0
2022-05-15 00:00:00+00:00,2,2,0,0
2022-05-16 00:00:00+00:00,1,1,2,1
2022-05-17 00:00:00+00:00,1,1,1,1
2022-05-18 00:00:00+00:00,1,1,0,0
2022-05-19 00:00:00+00:00,2,2,1,1
